Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPBZV2510130047528,24,commerce international et transit,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Pas de diplôme,Homme,Bac +3,Commerce International,"Commerce, Vente, Marketing & Distribution",Aucune,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,commerce international et transit,Non,non,commerce international et transit Commerce International Aucune Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client Stage commerce international et transit Pas de diplôme Bac +3
PPBZV2510130047532,24,administrateurs de systèmes,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Administrateur Systèmes & Réseaux,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Administrateurs de systèmes,Non déclaré,non déclaré,Administrateurs de systèmes Administrateur Systèmes & Réseaux Aucune Emploi administrateurs de systèmes Pas de diplôme Bac +4/+5 et plus
PPBZV2510160047797,24,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Comptabilité,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Comptabilité Emploi agent commercial BAC Technique Bac
PPBZV2510160047798,29,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Femme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac A Emploi pompiste Baccalauréat Général Bac
PPBZV2510160047799,28,technicienne de maintenance industrielle,Divers,Stage,Bac +3,Homme,Bac +3,Technicien de maintenance industrielle,"Industrie, Production & Maintenance",Maintenance industrielle,Non déclaré,Technicienne de Maintenance Industrielle,Non déclaré,non déclaré,Technicienne de Maintenance Industrielle Technicien de maintenance industrielle Maintenance industrielle Stage technicienne de maintenance industrielle Bac +3 Bac +3
PPBZV2510160047800,37,vendeur/vendeuse en pharmacie.,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Femme,Bac,Vente Spécialisée - Pharmacie,"Commerce, Vente, Marketing & Distribution",Comptabilité,Non déclaré,vendeur/vendeuse en pharmacie.,Non déclaré,non déclaré,vendeur/vendeuse en pharmacie. Vente Spécialisée - Pharmacie Comptabilité Emploi vendeur/vendeuse en pharmacie. BAC Technique Bac
PPBZV2510160047802,24,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac D Emploi agent commercial Baccalauréat Général Bac
PPBZV2510160047804,29,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Femme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac A Emploi pompiste Baccalauréat Général Bac
PPBZV2510160047805,18,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2510160047806,33,assistante de direction,Finance,Emploi,Licence,Femme,Bac +3,Assistant de Direction,"Conseil, Stratégie & Gestion des Ressources Humaines",Droit privé,Non déclaré,Assistante de direction,Non déclaré,non déclaré,Assistante de direction Assistant de Direction Droit privé Emploi assistante de direction Licence Bac +3
PPBZV2510130047545,36,economiste,Finance,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Économiste,Divers,Aucune,Non déclaré,Economiste,Non déclaré,non déclaré,Economiste Économiste Aucune Emploi economiste Pas de diplôme Bac +4/+5 et plus
PPBZV2510160047810,21,aps,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Baccalauréat Général,Homme,Bac,Agent de Prevention et de Securite,"Sécurité, Sûreté & Défense",Bac A,Non déclaré,APS,Non déclaré,non déclaré,APS Agent de Prevention et de Securite Bac A Emploi aps Baccalauréat Général Bac
PPBZV2510130047548,35,frigoriste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien Frigoriste,"Industrie, Production & Maintenance",Aucune,Non déclaré,Frigoriste,Non déclaré,non déclaré,Frigoriste Technicien Frigoriste Aucune Emploi frigoriste Pas de diplôme Post-secondaire – Professionnel
PPBZV2510130047550,37,assistant de direction,Art - Culture - Littérature - Mode,Emploi,Pas de diplôme,Femme,Bac +3,Assistant de Direction,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Non déclaré,Assistant de direction,Non déclaré,non déclaré,Assistant de direction Assistant de Direction Aucune Emploi assistant de direction Pas de diplôme Bac +3
PPBZV2510160047815,23,etudiant,Éducation - Formation - Enseignement,Emploi,Bac +3,Homme,Bac +3,Etudiant,Parcours Étudiant et Formation,Génie Logiciel,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Génie Logiciel Emploi etudiant Bac +3 Bac +3
PPBZV2510160047818,23,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2510130047556,29,steward,Hôtellerie - Restauration,Emploi,Pas de diplôme,Homme,Bac,Steward,Hôtellerie-Restauration,Aucune,Hôtellerie - Restauration,Steward,Non,non,Steward Steward Aucune Hôtellerie - Restauration Emploi steward Pas de diplôme Bac
PPBZV2510130047557,19,agent qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Femme,Bac +3,Technicien QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Aéronautique,Agent QHSE,Non,non,Agent QHSE Technicien QHSE Aucune Aéronautique Emploi agent qhse Pas de diplôme Bac +3
PPBZV2510160047823,26,logisticienne,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Femme,Bac +3,Logisticien,"Transport, Logistique & Supply Chain",Logistique et Supply Chain Management,Non déclaré,Logisticienne,Non déclaré,non déclaré,Logisticienne Logisticien Logistique et Supply Chain Management Emploi logisticienne Licence Professionnelle Bac +3
PPBZV2510130047558,22,domaine de restauration et hotelerie,Hôtellerie - Restauration,Emploi,Pas de diplôme,Femme,Bac,Agent polyvalent hôtellerie,Hôtellerie-Restauration,Aucune,Non déclaré,DOMAINE DE RESTAURATION ET HOTELERIE,Non déclaré,non déclaré,DOMAINE DE RESTAURATION ET HOTELERIE Agent polyvalent hôtellerie Aucune Emploi domaine de restauration et hotelerie Pas de diplôme Bac
PPBZV2510160047826,39,magasinier,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Homme,Bac,Magasinier,"Industrie, Production & Maintenance",Economie,Non déclaré,Magasinier,Non déclaré,non déclaré,Magasinier Magasinier Economie Emploi magasinier BAC Technique Bac
PPBZV2510160047827,38,assistant comptable,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Licence Professionnelle,Homme,Bac +3,Assistant Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion comptable et financière,Non déclaré,Assistant comptable,Non déclaré,non déclaré,Assistant comptable Assistant Comptable Gestion comptable et financière Emploi assistant comptable Licence Professionnelle Bac +3
PPBZV2510160047833,32,technicienne de surface,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,BAC Technique,Femme,Bac,Technicien de Surface,Services à la Personne & Social,Economie,Non déclaré,technicienne de surface,Non déclaré,non déclaré,technicienne de surface Technicien de Surface Economie Emploi technicienne de surface BAC Technique Bac
PPBZV2510160047836,38,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,BAC Technique,Homme,Bac,Agent de Securite,"Sécurité, Sûreté & Défense",Production Animale,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Production Animale Emploi agent de sécurité BAC Technique Bac
PPBZV2510160047837,24,etudiante,Divers,Stage,Bac +3,Femme,Bac +3,Etudiant,Parcours Étudiant et Formation,Banque et Finance,Non déclaré,Etudiante,Non déclaré,non déclaré,Etudiante Etudiant Banque et Finance Stage etudiante Bac +3 Bac +3
PPBZV2510160047841,23,gestion commerciale et marketing,Marketing,Emploi,Licence Professionnelle,Femme,Bac +3,Marketing & Commercial,"Commerce, Vente, Marketing & Distribution",Commerce - Distribution et achat,Non déclaré,Gestion Commerciale et Marketing,Non déclaré,non déclaré,Gestion Commerciale et Marketing Marketing & Commercial Commerce - Distribution et achat Emploi gestion commerciale et marketing Licence Professionnelle Bac +3
PPBZV2510130047564,22,assistant administratif et comptable,Finance,Emploi,Pas de diplôme,Femme,Bac +3,Assistant Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Assistant Administratif et comptable,Non,non,Assistant Administratif et comptable Assistant Comptable Aucune Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Emploi assistant administratif et comptable Pas de diplôme Bac +3
PPBZV2510130047567,34,aide magasinier,Social,Formation,Pas de diplôme,Homme,Aucun,Aide Magasinier,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Aide Magasinier,Non déclaré,non déclaré,Aide Magasinier Aide Magasinier Aucune Formation aide magasinier Pas de diplôme Aucun
PPBZV2510160047848,27,gardien,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Baccalauréat Général,Homme,Bac,Gardien,Services à la Personne & Social,Bac A,Non déclaré,Gardien,Non déclaré,non déclaré,Gardien Gardien Bac A Emploi gardien Baccalauréat Général Bac
PPBZV2510160047851,26,gestionnaire des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Licence,Femme,Bac +3,Gestionnaire de Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Gestionnaire des ressources humaines,Non,non,Gestionnaire des ressources humaines Gestionnaire de Ressources Humaines Ressources humaines Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi gestionnaire des ressources humaines Licence Bac +3
PPBZV2510160047852,24,steward,Hôtellerie - Restauration,Emploi,Baccalauréat Général,Homme,Bac,Steward,Hôtellerie-Restauration,Bac D,Non déclaré,Steward,Non déclaré,non déclaré,Steward Steward Bac D Emploi steward Baccalauréat Général Bac
PPBZV2510160047853,38,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2510140047597,28,conducteur de trains,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Pas de diplôme,Homme,Bac,Conducteur de Train,"Transport, Logistique & Supply Chain",Aucune,Transit - Transport et Logistique - Génie Logistique,Conducteur de Trains,Non,non,Conducteur de Trains Conducteur de Train Aucune Transit - Transport et Logistique - Génie Logistique Emploi conducteur de trains Pas de diplôme Bac
PPBZV2510160047855,24,assistant administratif et comptable,Finance,Emploi,Licence Professionnelle,Homme,Bac +3,Assistant Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Administration des entreprises,Non déclaré,Assistant Administratif et comptable,Non déclaré,non déclaré,Assistant Administratif et comptable Assistant Comptable Administration des entreprises Emploi assistant administratif et comptable Licence Professionnelle Bac +3
PPBZV2510160047856,22,technicien systèmes d'information,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Stage,Bac +3,Homme,Bac +3,Technicien Support IT,"Informatique, Data, Télécommunications & Digital",Biologie cellulaire et moléculaire,Non déclaré,Technicien Systèmes d'Information,Non déclaré,non déclaré,Technicien Systèmes d'Information Technicien Support IT Biologie cellulaire et moléculaire Stage technicien systèmes d'information Bac +3 Bac +3
PPBZV2510140047600,22,agent d'assurance,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Stage,Pas de diplôme,Homme,Bac,Conseiller en Assurance,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Agent d'assurance,Non,non,Agent d'assurance Conseiller en Assurance Aucune Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Stage agent d'assurance Pas de diplôme Bac
PPBZV2510160047858,23,agent des opérations,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Bac +3,Homme,Bac +3,Agent d'Opérations Logistiques,"Transport, Logistique & Supply Chain",Maintenance industrielle,Non déclaré,Agent des opérations,Non déclaré,non déclaré,Agent des opérations Agent d'Opérations Logistiques Maintenance industrielle Emploi agent des opérations Bac +3 Bac +3
PPBZV2510160047859,25,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Homme,Bac +3,Logisticien,"Transport, Logistique & Supply Chain",Transport et logistique,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Transport et logistique Emploi logisticien Licence Professionnelle Bac +3
PPBZV2510140047604,23,agent administratif,Divers,Emploi,Pas de diplôme,Femme,Bac +3,Agent Administratif et de Secrétariat,Fonction Publique & Administration,Aucune,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Agent Administratif,Non,non,Agent Administratif Agent Administratif et de Secrétariat Aucune Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable Emploi agent administratif Pas de diplôme Bac +3
PPBZV2510160047861,29,pâtissier(e),Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie,Emploi,Baccalauréat Général,Homme,Bac,Patissier,Hôtellerie-Restauration,Bac A,Non déclaré,Pâtissier(e),Non déclaré,non déclaré,Pâtissier(e) Patissier Bac A Emploi pâtissier(e) Baccalauréat Général Bac
PPBZV2510160047862,45,femme de ménage,Nettoyage - Blanchisserie - Pressing,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Femme,Primaire,Agent d'Entretien,Services à la Personne & Social,Aucune,Non déclaré,Femme de Ménage,Non déclaré,non déclaré,Femme de Ménage Agent d'Entretien Aucune Emploi femme de ménage Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPBZV2510140047616,24,agent logistique,Transit - Transport et Logistique - Génie Logistique,Stage,Pas de diplôme,Femme,Bac,Agent Logistique,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Agent Logistique,Non déclaré,non déclaré,Agent Logistique Agent Logistique Aucune Stage agent logistique Pas de diplôme Bac
PPBZV2510160047866,34,cuisiner,Divers,Emploi,Master 1,Homme,Bac +4/+5 et plus,Cuisinier,Hôtellerie-Restauration,Economie Quantitative,Non déclaré,Cuisiner,Non déclaré,non déclaré,Cuisiner Cuisinier Economie Quantitative Emploi cuisiner Master 1 Bac +4/+5 et plus
PPBZV2510160047867,23,responsable des opérations,Finance,Emploi,Licence Professionnelle,Femme,Bac +3,Responsable des Opérations,"Commerce, Vente, Marketing & Distribution",Maintenance industrielle,Non déclaré,Responsable des opérations,Non déclaré,non déclaré,Responsable des opérations Responsable des Opérations Maintenance industrielle Emploi responsable des opérations Licence Professionnelle Bac +3
PPBZV2510140047626,31,juriste,Droit et Justice,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Juriste,Droit et Justice,Aucune,Non déclaré,Juriste,Non déclaré,non déclaré,Juriste Juriste Aucune Emploi juriste Pas de diplôme Bac +4/+5 et plus
PPBZV2510160047869,35,technicien du bâtiment,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,BAC Technique,Homme,Bac,Technicien BTP,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac F4,Non déclaré,Technicien du bâtiment,Non déclaré,non déclaré,Technicien du bâtiment Technicien BTP Bac F4 Emploi technicien du bâtiment BAC Technique Bac
PPBZV2510160047870,24,banque et assurance,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Licence Professionnelle,Femme,Bac +3,Conseiller en Assurance de Personnes,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Banque et Finance,Non déclaré,Banque et Assurance,Non déclaré,non déclaré,Banque et Assurance Conseiller en Assurance de Personnes Banque et Finance Emploi banque et assurance Licence Professionnelle Bac +3
PPBZV2510160047871,21,etudiante,Divers,Stage,Bac +3,Femme,Bac +3,Etudiant,Parcours Étudiant et Formation,Commerce - Distribution et achat,Non déclaré,Etudiante,Non déclaré,non déclaré,Etudiante Etudiant Commerce - Distribution et achat Stage etudiante Bac +3 Bac +3
PPBZV2510160047873,24,serveuse,Hôtellerie - Restauration,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Serveur,Hôtellerie-Restauration,Aucune,Non déclaré,Serveuse,Non déclaré,non déclaré,Serveuse Serveur Aucune Emploi serveuse Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2510160047874,23,pharmacienne,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Stage,Baccalauréat Général,Femme,Bac,Pharmacien,"Santé, Pharmacie & Recherche Scientifique",Bac D,Non déclaré,Pharmacienne,Non déclaré,non déclaré,Pharmacienne Pharmacien Bac D Stage pharmacienne Baccalauréat Général Bac
PPBZV2510160047875,22,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2510160047876,22,assureur,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Stage,Baccalauréat Général,Homme,Bac,Conseiller en Assurance,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Bac D,Non déclaré,Assureur,Non déclaré,non déclaré,Assureur Conseiller en Assurance Bac D Stage assureur Baccalauréat Général Bac
PPBZV2510160047877,21,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac A,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac A Emploi manœuvre Baccalauréat Général Bac
PPBZV2510160047878,20,réceptionniste,Hôtellerie - Restauration,Emploi,BAC Technique,Femme,Bac,Receptionniste,Hôtellerie-Restauration,Comptabilité,Non déclaré,Réceptionniste,Non déclaré,non déclaré,Réceptionniste Receptionniste Comptabilité Emploi réceptionniste BAC Technique Bac
PPBZV2510160047879,30,cuisiner,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Cuisinier,Hôtellerie-Restauration,Aucune,Non déclaré,Cuisiner,Non déclaré,non déclaré,Cuisiner Cuisinier Aucune Emploi cuisiner Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2510160047880,31,assistant-administratif(ve),Divers,Emploi,Master 1,Femme,Bac +4/+5 et plus,Assistant Administratif,Fonction Publique & Administration,Droit privé,"Droit, Fiscalité, Conseil et Audit",Assistant-Administratif(ve),Non,non,"Assistant-Administratif(ve) Assistant Administratif Droit privé Droit, Fiscalité, Conseil et Audit Emploi assistant-administratif(ve) Master 1 Bac +4/+5 et plus"
PPBZV2510160047881,26,forestier,Exploitation Forestière - Bois - Produits forestiers,Emploi,Bac +5,Homme,Bac +4/+5 et plus,Agent Technique Forestier,Exploitation forestière & Bois,Exploitation Forestier,Non déclaré,Forestier,Non déclaré,non déclaré,Forestier Agent Technique Forestier Exploitation Forestier Emploi forestier Bac +5 Bac +4/+5 et plus
PPBZV2510160047883,21,bacheliere,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Baccalauréat Général,Femme,Bac,Diplômé du Baccalauréat,Parcours Étudiant et Formation,Bac C,Non déclaré,bacheliere,Non déclaré,non déclaré,bacheliere Diplômé du Baccalauréat Bac C Emploi bacheliere Baccalauréat Général Bac
PPBZV2510140047646,42,secrétaire de direction,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac +3,Assistant de Direction,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Non déclaré,Secrétaire de direction,Non déclaré,non déclaré,Secrétaire de direction Assistant de Direction Aucune Emploi secrétaire de direction Pas de diplôme Bac +3
PPBZV2510140047666,40,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Pas de diplôme Secondaire 1
PPBZV2510140047672,33,commerciale,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Pas de diplôme,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,Commerciale,Non déclaré,non déclaré,Commerciale Commercial Aucune Emploi commerciale Pas de diplôme Bac
PPBZV2510140047687,29,assistante comptable,Finance,Emploi,Pas de diplôme,Femme,Bac +3,Assistant Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,Assistante comptable,Non déclaré,non déclaré,Assistante comptable Assistant Comptable Aucune Emploi assistante comptable Pas de diplôme Bac +3
PPBZV2510140047695,25,informaticien,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Pas de diplôme,Homme,Bac +3,Technicien Informatique,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Informaticien,Non déclaré,non déclaré,Informaticien Technicien Informatique Aucune Emploi informaticien Pas de diplôme Bac +3
PPBZV2510140047702,21,assistant·(e) juridique,Droit et Justice,Emploi,Pas de diplôme,Femme,Bac +3,Assistant Juridique,Droit et Justice,Aucune,Non déclaré,Assistant·(e) juridique,Non déclaré,non déclaré,Assistant·(e) juridique Assistant Juridique Aucune Emploi assistant·(e) juridique Pas de diplôme Bac +3
PPBZV2510140047704,36,agent administratif,Divers,Emploi,Pas de diplôme,Femme,Bac +3,Agent Administratif et de Secrétariat,Fonction Publique & Administration,Aucune,Non déclaré,Agent Administratif,Non déclaré,non déclaré,Agent Administratif Agent Administratif et de Secrétariat Aucune Emploi agent administratif Pas de diplôme Bac +3
PPBZV2510140047705,34,assistant administratif et comptable,Finance,Emploi,Pas de diplôme,Femme,Bac +3,Assistant Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,Assistant Administratif et comptable,Non déclaré,non déclaré,Assistant Administratif et comptable Assistant Comptable Aucune Emploi assistant administratif et comptable Pas de diplôme Bac +3
PPBZV2510160047898,30,commis de cuisine,Hôtellerie - Restauration,Emploi,Certificat de Fin de Formation,Homme,Autre,Commis de Cuisine,Hôtellerie-Restauration,Cuisine,Hôtellerie - Restauration,Commis de cuisine,Non,non,Commis de cuisine Commis de Cuisine Cuisine Hôtellerie - Restauration Emploi commis de cuisine Certificat de Fin de Formation Autre
PPBZV2510160047900,32,administratrice des entreprises,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Master,Femme,Bac +4/+5 et plus,Administrateur de Fonctions Support,Fonction Publique & Administration,Administration des entreprises,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Administratrice des entreprises,Non,non,Administratrice des entreprises Administrateur de Fonctions Support Administration des entreprises Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi administratrice des entreprises Master Bac +4/+5 et plus
PPBZV2510150047707,32,"secrétaires, services juridiques",Droit et Justice,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Secrétaire Juridique,Fonction Publique & Administration,Aucune,Non déclaré,"Secrétaires, services juridiques",Non déclaré,non déclaré,"Secrétaires, services juridiques Secrétaire Juridique Aucune Emploi secrétaires, services juridiques Pas de diplôme Post-secondaire – Professionnel"
PPBZV2510160047904,33,agent de recouvrement,Finance,Emploi,Brevet de Technicien Supérieur (BTS),Femme,Post-secondaire – Professionnel,Agent de recouvrement,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion des Ressources Humaines,Gestion Administrative,Agent de Recouvrement,Non,non,Agent de Recouvrement Agent de recouvrement Gestion des Ressources Humaines Gestion Administrative Emploi agent de recouvrement Brevet de Technicien Supérieur (BTS) Post-secondaire – Professionnel
PPBZV2510150047709,24,etudiant(e),Divers,Stage,Pas de diplôme,Femme,Bac +3,Etudiant,Parcours Étudiant et Formation,Aucune,Non déclaré,Etudiant(e),Non déclaré,non déclaré,Etudiant(e) Etudiant Aucune Stage etudiant(e) Pas de diplôme Bac +3
PPBZV2510160047908,24,ingénieur en génie numérique,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Stage,Pas de diplôme,Femme,Bac +4/+5 et plus,Ingénieur Numérique,"Informatique, Data, Télécommunications & Digital",génie Informatique,Non déclaré,Ingénieur en génie Numérique,Non déclaré,non déclaré,Ingénieur en génie Numérique Ingénieur Numérique génie Informatique Stage ingénieur en génie numérique Pas de diplôme Bac +4/+5 et plus
PPBZV2510160047910,23,administrateur de systèmes et réseaux,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Stage,Bac +3,Homme,Bac +3,Administrateur Systèmes & Réseaux,"Informatique, Data, Télécommunications & Digital",Administration système et réseaux,Non déclaré,Administrateur de systèmes et réseaux,Non déclaré,non déclaré,Administrateur de systèmes et réseaux Administrateur Systèmes & Réseaux Administration système et réseaux Stage administrateur de systèmes et réseaux Bac +3 Bac +3
PPBZV2510160047911,23,juriste,Droit et Justice,Emploi,Bac +5,Homme,Bac +4/+5 et plus,Juriste,Droit et Justice,Droit des Affaires,Non déclaré,Juriste,Non déclaré,non déclaré,Juriste Juriste Droit des Affaires Emploi juriste Bac +5 Bac +4/+5 et plus
PPBZV2510150047710,36,administration et des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac +3,Assistant en Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Gestion Administrative,Administration et des Ressources Humaines,Non,non,Administration et des Ressources Humaines Assistant en Ressources Humaines Aucune Gestion Administrative Emploi administration et des ressources humaines Pas de diplôme Bac +3
